,worker,gpu,time,batch_time_norm
0,0,25,1,476
1,1,25,1,509
2,2,25,1,468
3,3,25,1,433
4,4,25,1,475
5,5,25,1,501
6,6,25,1,492
7,7,25,1,419
8,8,25,1,430
9,9,25,1,436
10,0,25,11,476
11,1,25,11,509
12,2,25,11,490
13,3,25,11,418
14,4,25,11,443
15,5,25,11,483
16,6,25,11,500
17,7,25,11,419
18,8,25,11,433
19,9,25,11,408
20,0,25,21,484
21,1,25,21,491
22,2,25,21,477
23,3,25,21,466
24,4,25,21,443
25,5,25,21,483
26,6,25,21,478
27,7,25,21,450
28,8,25,21,429
29,9,25,21,418
30,0,25,31,484
31,1,25,31,491
32,2,25,31,477
33,3,25,31,420
34,4,25,31,470
35,5,25,31,451
36,6,25,31,473
37,7,25,31,450
38,8,25,31,429
39,9,25,31,408
40,0,25,41,485
41,1,25,41,481
42,2,25,41,462
43,3,25,41,429
44,4,25,41,444
45,5,25,41,454
46,6,25,41,462
47,7,25,41,444
48,8,25,41,421
49,9,25,41,435
50,0,25,51,485
51,1,25,51,481
52,2,25,51,462
53,3,25,51,429
54,4,25,51,444
55,5,25,51,454
56,6,25,51,454
57,7,25,51,454
58,8,25,51,421
59,9,25,51,435
60,0,25,61,502
61,1,25,61,481
62,2,25,61,437
63,3,25,61,441
64,4,25,61,465
65,5,25,61,428
66,6,25,61,467
67,7,25,61,440
68,8,25,61,435
69,9,25,61,450
70,0,25,71,504
71,1,25,71,470
72,2,25,71,447
73,3,25,71,441
74,4,25,71,465
75,5,25,71,428
76,6,25,71,461
77,7,25,71,440
78,8,25,71,435
79,9,25,71,450
80,0,25,81,489
81,1,25,81,470
82,2,25,81,463
83,3,25,81,432
84,4,25,81,483
85,5,25,81,465
86,6,25,81,475
87,7,25,81,440
88,8,25,81,407
89,9,25,81,442
90,0,25,91,498
91,1,25,91,470
92,2,25,91,459
93,3,25,91,438
94,4,25,91,483
95,5,25,91,465
96,6,25,91,493
97,7,25,91,453
98,8,25,91,422
99,9,25,91,437
100,0,25,101,498
101,1,25,101,470
102,2,25,101,459
103,3,25,101,431
104,4,25,101,483
105,5,25,101,465
106,6,25,101,473
107,7,25,101,453
108,8,25,101,422
109,9,25,101,415
110,0,25,111,525
111,1,25,111,510
112,2,25,111,494
113,3,25,111,431
114,4,25,111,479
115,5,25,111,454
116,6,25,111,488
117,7,25,111,426
118,8,25,111,413
119,9,25,111,436
120,0,25,121,525
121,1,25,121,510
122,2,25,121,494
123,3,25,121,438
124,4,25,121,497
125,5,25,121,454
126,6,25,121,520
127,7,25,121,426
128,8,25,121,413
129,9,25,121,430
130,0,25,131,532
131,1,25,131,499
132,2,25,131,485
133,3,25,131,455
134,4,25,131,584
135,5,25,131,496
136,6,25,131,482
137,7,25,131,426
138,8,25,131,441
139,9,25,131,438
140,0,25,141,522
141,1,25,141,504
142,2,25,141,488
143,3,25,141,455
144,4,25,141,584
145,5,25,141,496
146,6,25,141,502
147,7,25,141,426
148,8,25,141,441
149,9,25,141,438
150,0,25,151,539
151,1,25,151,504
152,2,25,151,488
153,3,25,151,435
154,4,25,151,574
155,5,25,151,476
156,6,25,151,515
157,7,25,151,426
158,8,25,151,441
159,9,25,151,438
160,0,25,161,525
161,1,25,161,528
162,2,25,161,545
163,3,25,161,455
164,4,25,161,574
165,5,25,161,476
166,6,25,161,493
167,7,25,161,441
168,8,25,161,413
169,9,25,161,424
170,0,25,171,525
171,1,25,171,528
172,2,25,171,545
173,3,25,171,438
174,4,25,171,478
175,5,25,171,468
176,6,25,171,472
177,7,25,171,441
178,8,25,171,413
179,9,25,171,424
180,0,25,181,470
181,1,25,181,465
182,2,25,181,472
183,3,25,181,475
184,4,25,181,474
185,5,25,181,479
186,6,25,181,488
187,7,25,181,434
188,8,25,181,431
189,9,25,181,431
190,0,25,191,470
191,1,25,191,465
192,2,25,191,472
193,3,25,191,415
194,4,25,191,474
195,5,25,191,472
196,6,25,191,481
197,7,25,191,434
198,8,25,191,431
199,9,25,191,431
200,0,25,201,486
201,1,25,201,472
202,2,25,201,472
203,3,25,201,436
204,4,25,201,467
205,5,25,201,460
206,6,25,201,481
207,7,25,201,427
208,8,25,201,414
209,9,25,201,431
210,0,25,211,472
211,1,25,211,494
212,2,25,211,438
213,3,25,211,436
214,4,25,211,467
215,5,25,211,460
216,6,25,211,493
217,7,25,211,424
218,8,25,211,414
219,9,25,211,431
220,0,25,221,482
221,1,25,221,494
222,2,25,221,450
223,3,25,221,436
224,4,25,221,478
225,5,25,221,447
226,6,25,221,454
227,7,25,221,424
228,8,25,221,400
229,9,25,221,419
230,0,25,231,468
231,1,25,231,488
232,2,25,231,467
233,3,25,231,426
234,4,25,231,478
235,5,25,231,447
236,6,25,231,475
237,7,25,231,441
238,8,25,231,449
239,9,25,231,427
240,0,25,241,468
241,1,25,241,488
242,2,25,241,467
243,3,25,241,441
244,4,25,241,469
245,5,25,241,447
246,6,25,241,475
247,7,25,241,441
248,8,25,241,449
249,9,25,241,432
250,0,25,251,483
251,1,25,251,504
252,2,25,251,486
253,3,25,251,441
254,4,25,251,475
255,5,25,251,470
256,6,25,251,475
257,7,25,251,426
258,8,25,251,428
259,9,25,251,424
260,0,25,261,483
261,1,25,261,504
262,2,25,261,486
263,3,25,261,441
264,4,25,261,472
265,5,25,261,470
266,6,25,261,464
267,7,25,261,436
268,8,25,261,428
269,9,25,261,424
270,0,25,271,503
271,1,25,271,469
272,2,25,271,479
273,3,25,271,429
274,4,25,271,479
275,5,25,271,460
276,6,25,271,474
277,7,25,271,453
278,8,25,271,412
279,9,25,271,450
280,0,25,281,503
281,1,25,281,490
282,2,25,281,495
283,3,25,281,429
284,4,25,281,479
285,5,25,281,460
286,6,25,281,461
287,7,25,281,439
288,8,25,281,412
289,9,25,281,450
290,0,25,291,513
291,1,25,291,490
292,2,25,291,482
293,3,25,291,457
294,4,25,291,479
295,5,25,291,465
296,6,25,291,474
297,7,25,291,439
298,8,25,291,403
299,9,25,291,431
300,0,25,301,484
301,1,25,301,476
302,2,25,301,449
303,3,25,301,439
304,4,25,301,479
305,5,25,301,465
306,6,25,301,461
307,7,25,301,442
308,8,25,301,449
309,9,25,301,433
310,0,25,311,484
311,1,25,311,476
312,2,25,311,449
313,3,25,311,430
314,4,25,311,479
315,5,25,311,451
316,6,25,311,478
317,7,25,311,442
318,8,25,311,449
319,9,25,311,443
320,0,25,321,484
321,1,25,321,475
322,2,25,321,496
323,3,25,321,425
324,4,25,321,450
325,5,25,321,451
326,6,25,321,458
327,7,25,321,437
328,8,25,321,443
329,9,25,321,433
330,0,25,331,484
331,1,25,331,475
332,2,25,331,496
333,3,25,331,415
334,4,25,331,450
335,5,25,331,493
336,6,25,331,489
337,7,25,331,437
338,8,25,331,443
339,9,25,331,433
340,0,25,341,477
341,1,25,341,494
342,2,25,341,496
343,3,25,341,441
344,4,25,341,467
345,5,25,341,485
346,6,25,341,483
347,7,25,341,418
348,8,25,341,435
349,9,25,341,448
350,0,25,351,489
351,1,25,351,480
352,2,25,351,462
353,3,25,351,441
354,4,25,351,467
355,5,25,351,485
356,6,25,351,492
357,7,25,351,431
358,8,25,351,435
359,9,25,351,448
360,0,25,361,478
361,1,25,361,480
362,2,25,361,464
363,3,25,361,420
364,4,25,361,452
365,5,25,361,475
366,6,25,361,468
367,7,25,361,431
368,8,25,361,429
369,9,25,361,441
370,0,25,371,504
371,1,25,371,480
372,2,25,371,483
373,3,25,371,433
374,4,25,371,452
375,5,25,371,475
376,6,25,371,489
377,7,25,371,433
378,8,25,371,429
379,9,25,371,434
380,0,25,381,504
381,1,25,381,480
382,2,25,381,483
383,3,25,381,433
384,4,25,381,474
385,5,25,381,496
386,6,25,381,473
387,7,25,381,433
388,8,25,381,424
389,9,25,381,434
390,0,25,391,480
391,1,25,391,480
392,2,25,391,483
393,3,25,391,465
394,4,25,391,472
395,5,25,391,496
396,6,25,391,473
397,7,25,391,446
398,8,25,391,435
399,9,25,391,429
400,0,25,401,480
401,1,25,401,480
402,2,25,401,483
403,3,25,401,456
404,4,25,401,472
405,5,25,401,477
406,6,25,401,461
407,7,25,401,446
408,8,25,401,435
409,9,25,401,425
410,0,25,411,496
411,1,25,411,473
412,2,25,411,483
413,3,25,411,453
414,4,25,411,489
415,5,25,411,488
416,6,25,411,463
417,7,25,411,434
418,8,25,411,428
419,9,25,411,433
420,0,25,421,502
421,1,25,421,474
422,2,25,421,485
423,3,25,421,453
424,4,25,421,489
425,5,25,421,488
426,6,25,421,457
427,7,25,421,443
428,8,25,421,428
429,9,25,421,433
430,0,25,431,488
431,1,25,431,474
432,2,25,431,487
433,3,25,431,441
434,4,25,431,460
435,5,25,431,467
436,6,25,431,447
437,7,25,431,443
438,8,25,431,416
439,9,25,431,425
440,0,25,441,480
441,1,25,441,470
442,2,25,441,487
443,3,25,441,441
444,4,25,441,460
445,5,25,441,467
446,6,25,441,438
447,7,25,441,443
448,8,25,441,419
449,9,25,441,436
450,0,25,451,480
451,1,25,451,470
452,2,25,451,487
453,3,25,451,441
454,4,25,451,466
455,5,25,451,443
456,6,25,451,475
457,7,25,451,443
458,8,25,451,419
459,9,25,451,426
460,0,25,461,497
461,1,25,461,484
462,2,25,461,475
463,3,25,461,442
