sn,cpu_milli,memory_mib,gpu,model
openb-node-0000,32000,262144,0,
openb-node-0001,32000,262144,0,
openb-node-0002,32000,262144,0,
openb-node-0003,32000,262144,0,
openb-node-0004,32000,262144,0,
openb-node-0005,32000,262144,0,
openb-node-0006,32000,262144,0,
openb-node-0007,32000,262144,0,
openb-node-0008,32000,262144,0,
openb-node-0009,32000,262144,0,
openb-node-0010,32000,262144,0,
openb-node-0011,32000,262144,0,
openb-node-0012,32000,262144,0,
openb-node-0013,32000,262144,0,
openb-node-0014,32000,262144,0,
openb-node-0015,32000,262144,0,
openb-node-0016,32000,262144,0,
openb-node-0017,32000,262144,0,
openb-node-0018,32000,262144,0,
openb-node-0019,32000,262144,0,
openb-node-0020,32000,262144,0,
openb-node-0021,32000,262144,0,
openb-node-0022,32000,262144,0,
openb-node-0023,32000,262144,0,
openb-node-0024,32000,262144,0,
openb-node-0025,32000,262144,0,
openb-node-0026,32000,262144,0,
openb-node-0027,32000,262144,0,
openb-node-0028,32000,262144,0,
openb-node-0029,32000,262144,0,
openb-node-0030,32000,262144,0,
openb-node-0031,32000,262144,0,
openb-node-0032,32000,262144,0,
openb-node-0033,32000,262144,0,
openb-node-0034,32000,262144,0,
openb-node-0035,32000,262144,0,
openb-node-0036,32000,262144,0,
openb-node-0037,32000,262144,0,
openb-node-0038,32000,262144,0,
openb-node-0039,32000,262144,0,
openb-node-0040,32000,262144,0,
openb-node-0041,32000,262144,0,
openb-node-0042,32000,262144,0,
openb-node-0043,32000,262144,0,
openb-node-0044,32000,262144,0,
openb-node-0045,32000,262144,0,
openb-node-0046,32000,262144,0,
openb-node-0047,32000,262144,0,
openb-node-0048,32000,262144,0,
openb-node-0049,32000,262144,0,
openb-node-0050,32000,262144,0,
openb-node-0051,32000,262144,0,
openb-node-0052,32000,262144,0,
openb-node-0053,32000,262144,0,
openb-node-0054,32000,262144,0,
openb-node-0055,32000,262144,0,
openb-node-0056,32000,262144,0,
openb-node-0057,32000,262144,0,
openb-node-0058,32000,262144,0,
openb-node-0059,32000,262144,0,
openb-node-0060,32000,262144,0,
openb-node-0061,32000,262144,0,
openb-node-0062,32000,262144,0,
openb-node-0063,32000,262144,0,
openb-node-0064,32000,262144,0,
openb-node-0065,32000,262144,0,
openb-node-0066,32000,262144,0,
openb-node-0067,32000,262144,0,
openb-node-0068,32000,262144,0,
openb-node-0069,32000,262144,0,
openb-node-0070,32000,262144,0,
openb-node-0071,32000,262144,0,
openb-node-0072,32000,262144,0,
openb-node-0073,32000,262144,0,
openb-node-0074,32000,262144,0,
openb-node-0075,32000,262144,0,
openb-node-0076,32000,262144,0,
openb-node-0077,32000,262144,0,
openb-node-0078,32000,262144,0,
openb-node-0079,32000,262144,0,
openb-node-0080,32000,262144,0,
openb-node-0081,96000,524288,0,
openb-node-0082,96000,524288,0,
openb-node-0083,96000,524288,0,
openb-node-0084,96000,524288,0,
openb-node-0085,96000,524288,0,
openb-node-0086,96000,524288,0,
openb-node-0087,96000,524288,0,
openb-node-0088,96000,524288,0,
openb-node-0089,96000,524288,0,
openb-node-0090,96000,524288,0,
openb-node-0091,96000,524288,0,
openb-node-0092,96000,524288,0,
openb-node-0093,32000,262144,0,
openb-node-0094,32000,262144,0,
openb-node-0095,32000,262144,0,
openb-node-0096,32000,262144,0,
openb-node-0097,32000,262144,0,
openb-node-0098,32000,262144,0,
openb-node-0099,32000,262144,0,
openb-node-0100,32000,262144,0,
openb-node-0101,32000,262144,0,
openb-node-0102,32000,262144,0,
openb-node-0103,32000,262144,0,
openb-node-0104,32000,262144,0,
openb-node-0105,32000,262144,0,
openb-node-0106,32000,262144,0,
openb-node-0107,32000,262144,0,
openb-node-0108,32000,262144,0,
openb-node-0109,32000,262144,0,
openb-node-0110,32000,262144,0,
openb-node-0111,32000,262144,0,
openb-node-0112,32000,262144,0,
openb-node-0113,96000,524288,0,
openb-node-0114,96000,524288,0,
openb-node-0115,96000,524288,0,
openb-node-0116,96000,524288,0,
openb-node-0117,96000,524288,0,
openb-node-0118,96000,524288,0,
openb-node-0119,96000,524288,0,
openb-node-0120,96000,524288,0,
openb-node-0121,32000,262144,0,
openb-node-0122,32000,262144,0,
openb-node-0123,64000,262144,2,P100
openb-node-0124,64000,262144,2,P100
openb-node-0125,64000,262144,2,P100
openb-node-0126,64000,262144,2,P100
openb-node-0127,64000,262144,2,P100
openb-node-0128,64000,262144,2,P100
openb-node-0129,64000,262144,2,P100
openb-node-0130,64000,262144,2,P100
openb-node-0131,64000,262144,2,P100
openb-node-0132,64000,262144,2,P100
openb-node-0133,64000,262144,2,P100
openb-node-0134,64000,262144,2,P100
openb-node-0135,64000,262144,2,P100
openb-node-0136,64000,262144,2,P100
openb-node-0137,64000,262144,2,P100
openb-node-0138,64000,262144,2,P100
openb-node-0139,64000,262144,2,P100
openb-node-0140,64000,262144,2,P100
openb-node-0141,64000,262144,2,P100
openb-node-0142,96000,524288,0,
openb-node-0143,96000,524288,0,
openb-node-0144,96000,524288,0,
openb-node-0145,96000,524288,0,
openb-node-0146,96000,524288,0,
openb-node-0147,64000,262144,2,P100
openb-node-0148,64000,262144,2,P100
openb-node-0149,64000,262144,2,P100
openb-node-0150,32000,262144,0,
openb-node-0151,64000,524288,0,
openb-node-0152,64000,524288,0,
openb-node-0153,64000,524288,0,
openb-node-0154,64000,524288,0,
openb-node-0155,64000,524288,0,
openb-node-0156,64000,524288,0,
openb-node-0157,64000,524288,0,
openb-node-0158,64000,524288,0,
openb-node-0159,64000,524288,0,
openb-node-0160,64000,524288,0,
openb-node-0161,64000,524288,0,
openb-node-0162,64000,524288,0,
openb-node-0163,64000,524288,0,
openb-node-0164,64000,524288,0,
openb-node-0165,64000,524288,0,
openb-node-0166,64000,524288,0,
openb-node-0167,64000,524288,0,
openb-node-0168,64000,524288,0,
openb-node-0169,64000,524288,0,
openb-node-0170,64000,524288,0,
openb-node-0171,64000,524288,0,
openb-node-0172,64000,524288,0,
openb-node-0173,96000,393216,0,
openb-node-0174,96000,393216,0,
openb-node-0175,96000,393216,0,
openb-node-0176,96000,393216,0,
openb-node-0177,96000,393216,0,
openb-node-0178,96000,393216,0,
openb-node-0179,96000,393216,0,
openb-node-0180,96000,393216,0,
openb-node-0181,96000,393216,0,
openb-node-0182,96000,393216,0,
openb-node-0183,96000,393216,0,
openb-node-0184,96000,393216,0,
openb-node-0185,96000,393216,0,
openb-node-0186,96000,393216,0,
openb-node-0187,96000,393216,0,
openb-node-0188,96000,393216,0,
openb-node-0189,96000,393216,0,
openb-node-0190,96000,393216,0,
openb-node-0191,96000,393216,0,
openb-node-0192,96000,393216,0,
openb-node-0193,96000,393216,0,
openb-node-0194,96000,393216,0,
openb-node-0195,96000,393216,0,
openb-node-0196,96000,393216,0,
openb-node-0197,96000,393216,0,
openb-node-0198,96000,393216,0,
openb-node-0199,96000,393216,0,
openb-node-0200,96000,393216,0,
openb-node-0201,96000,393216,0,
openb-node-0202,96000,393216,0,
openb-node-0203,32000,262144,0,
openb-node-0204,32000,262144,0,
openb-node-0205,32000,262144,0,
openb-node-0206,32000,262144,0,
openb-node-0207,32000,262144,0,
openb-node-0208,32000,262144,0,
openb-node-0209,32000,262144,0,
openb-node-0210,32000,262144,0,
openb-node-0211,32000,262144,0,
openb-node-0212,32000,262144,0,
openb-node-0213,32000,262144,0,
openb-node-0214,32000,262144,0,
openb-node-0215,32000,262144,0,
openb-node-0216,32000,262144,0,
openb-node-0217,32000,262144,0,
openb-node-0218,32000,262144,0,
openb-node-0219,32000,262144,0,
openb-node-0220,32000,262144,0,
openb-node-0221,32000,262144,0,
