sn,cpu_milli,memory_mib,gpu,model
openb-node-0000,64000,262144,2,P100
openb-node-0001,64000,262144,2,P100
openb-node-0002,64000,262144,2,P100
openb-node-0003,64000,262144,2,P100
openb-node-0004,64000,262144,2,P100
openb-node-0005,64000,262144,2,P100
openb-node-0006,64000,262144,2,P100
openb-node-0007,64000,262144,2,P100
openb-node-0008,64000,262144,2,P100
openb-node-0009,64000,262144,2,P100
openb-node-0010,64000,262144,2,P100
openb-node-0011,64000,262144,2,P100
openb-node-0012,64000,262144,2,P100
openb-node-0013,64000,262144,2,P100
openb-node-0014,64000,262144,2,P100
openb-node-0015,64000,262144,2,P100
openb-node-0016,64000,262144,2,P100
openb-node-0017,64000,262144,2,P100
openb-node-0018,64000,262144,2,P100
openb-node-0019,64000,262144,2,P100
openb-node-0020,64000,262144,2,P100
openb-node-0021,64000,262144,2,P100
openb-node-0022,128000,786432,8,G3
openb-node-0023,96000,786432,8,V100M32
openb-node-0024,96000,786432,8,V100M32
openb-node-0025,32000,131072,4,V100M16
openb-node-0026,96000,393216,8,G2
openb-node-0027,96000,393216,8,G2
openb-node-0028,96000,393216,8,G2
openb-node-0029,96000,393216,8,G2
openb-node-0030,96000,393216,8,G2
openb-node-0031,96000,393216,8,G2
openb-node-0032,96000,393216,8,G2
openb-node-0033,96000,393216,8,G2
openb-node-0034,96000,393216,8,G2
openb-node-0035,96000,393216,4,T4
openb-node-0036,104000,524288,2,T4
openb-node-0037,128000,786432,8,G3
openb-node-0038,96000,393216,8,G2
openb-node-0039,96000,393216,8,G2
openb-node-0040,96000,393216,8,G2
openb-node-0041,96000,393216,8,G2
openb-node-0042,96000,393216,8,G2
openb-node-0043,104000,524288,2,T4
openb-node-0044,96000,393216,8,G2
openb-node-0045,96000,393216,8,G2
openb-node-0046,96000,393216,8,G2
openb-node-0047,96000,393216,8,G2
openb-node-0048,96000,393216,8,G2
openb-node-0049,128000,786432,8,G3
openb-node-0050,128000,786432,8,G3
openb-node-0051,16000,122880,2,P100
openb-node-0052,96000,393216,8,G2
openb-node-0053,96000,393216,8,G2
openb-node-0054,96000,393216,8,G2
openb-node-0055,96000,393216,8,G2
openb-node-0056,96000,393216,8,G2
openb-node-0057,96000,393216,4,T4
openb-node-0058,96000,393216,8,G2
openb-node-0059,96000,393216,8,G2
openb-node-0060,96000,393216,8,G2
openb-node-0061,96000,393216,8,G2
openb-node-0062,16000,122880,2,P100
openb-node-0063,96000,393216,8,G2
openb-node-0064,96000,393216,8,G2
openb-node-0065,96000,786432,8,V100M32
openb-node-0066,96000,393216,8,G2
openb-node-0067,104000,524288,2,T4
openb-node-0068,104000,524288,2,T4
openb-node-0069,104000,524288,2,T4
openb-node-0070,104000,524288,2,T4
openb-node-0071,32000,131072,4,V100M16
openb-node-0072,16000,122880,2,P100
openb-node-0073,16000,122880,2,P100
openb-node-0074,96000,393216,8,G2
openb-node-0075,96000,393216,8,G2
openb-node-0076,96000,393216,8,G2
openb-node-0077,96000,393216,8,G2
openb-node-0078,96000,393216,4,T4
openb-node-0079,96000,393216,4,T4
openb-node-0080,96000,393216,8,G2
openb-node-0081,96000,393216,8,G2
openb-node-0082,96000,393216,8,G2
openb-node-0083,16000,122880,2,P100
openb-node-0084,16000,122880,2,P100
openb-node-0085,16000,122880,2,P100
openb-node-0086,96000,393216,8,G2
openb-node-0087,96000,393216,8,G2
openb-node-0088,96000,393216,8,G2
openb-node-0089,96000,393216,8,G2
openb-node-0090,16000,122880,2,P100
openb-node-0091,96000,393216,8,G2
openb-node-0092,96000,393216,8,G2
openb-node-0093,96000,393216,8,G2
openb-node-0094,96000,393216,8,G2
openb-node-0095,96000,393216,8,G2
openb-node-0096,96000,393216,4,T4
openb-node-0097,32000,131072,4,V100M16
openb-node-0098,32000,131072,4,V100M16
openb-node-0099,32000,131072,4,V100M16
openb-node-0100,96000,393216,8,G2
openb-node-0101,96000,393216,8,G2
openb-node-0102,96000,393216,8,G2
openb-node-0103,96000,393216,4,T4
openb-node-0104,96000,393216,8,G2
openb-node-0105,96000,393216,8,G2
openb-node-0106,96000,393216,8,G2
openb-node-0107,96000,393216,8,G2
openb-node-0108,96000,393216,8,G2
openb-node-0109,96000,393216,8,G2
openb-node-0110,96000,393216,8,G2
openb-node-0111,96000,393216,8,G2
openb-node-0112,96000,393216,8,G2
openb-node-0113,104000,524288,2,T4
openb-node-0114,96000,393216,8,G2
openb-node-0115,96000,393216,8,G2
openb-node-0116,96000,393216,8,G2
openb-node-0117,96000,393216,8,G2
openb-node-0118,16000,122880,2,P100
openb-node-0119,16000,122880,2,P100
openb-node-0120,96000,393216,8,G2
openb-node-0121,104000,524288,2,T4
openb-node-0122,104000,524288,2,T4
openb-node-0123,104000,524288,2,T4
openb-node-0124,104000,524288,2,T4
openb-node-0125,104000,524288,2,T4
openb-node-0126,104000,524288,2,T4
openb-node-0127,104000,524288,2,T4
openb-node-0128,104000,524288,2,T4
openb-node-0129,104000,524288,2,T4
openb-node-0130,104000,524288,2,T4
openb-node-0131,104000,524288,2,T4
openb-node-0132,104000,524288,2,T4
openb-node-0133,104000,524288,2,T4
openb-node-0134,104000,524288,2,T4
openb-node-0135,104000,524288,2,T4
openb-node-0136,104000,524288,2,T4
openb-node-0137,104000,524288,2,T4
