name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time
openb-pod-0000,12000,16384,1,1000,,LS,Running,0,12537496,0
openb-pod-0001,6000,12288,1,460,,LS,Running,427061,12902960,427061
openb-pod-0002,12000,24576,1,1000,,LS,Running,1558381,12902960,1558381
openb-pod-0003,6000,12288,1,460,,LS,Running,2690044,12902960,2690044
openb-pod-0004,12000,16384,1,1000,,LS,Running,2758084,12902960,2758084
openb-pod-0005,20000,65536,0,0,,LS,Running,2759674,12902960,2759676
openb-pod-0006,4000,16384,1,1000,,LS,Running,3019330,11815163,3019331
openb-pod-0007,12000,16384,1,1000,,LS,Running,3019932,12902960,3019932
openb-pod-0008,12000,16384,1,1000,,LS,Running,4130198,12902960,4130198
openb-pod-0009,12000,16384,1,1000,,LS,Running,4975773,12902960,4975773
openb-pod-0010,16000,49152,1,1000,,LS,Running,5182092,10004145,5182096
openb-pod-0011,6000,8192,1,460,,LS,Running,6394537,12902960,6394537
openb-pod-0012,8000,32768,1,1000,,LS,Running,6588193,10959245,6595531
openb-pod-0013,8000,16384,1,1000,,LS,Running,6976821,10650110,6976823
openb-pod-0014,16000,65536,1,1000,,LS,Running,8387257,11410890,8387291
openb-pod-0015,16000,49152,1,1000,,LS,Running,8396307,12902960,8396310
openb-pod-0016,32000,65536,0,0,,LS,Running,8962274,12902960,8962277
openb-pod-0017,88000,327680,8,1000,,Burstable,Succeeded,9437497,10769854,9437497
openb-pod-0018,6000,6144,1,460,,LS,Running,9476974,12902960,9476974
openb-pod-0019,8000,30517,1,470,,LS,Running,9664050,12902960,9664050
openb-pod-0020,8000,30517,1,470,,LS,Running,9664123,12902960,9664124
openb-pod-0021,8000,30517,1,440,,LS,Running,9671707,12902960,9671708
openb-pod-0022,4000,15258,1,220,,BE,Running,9679175,9973826,9679175
openb-pod-0023,12000,24576,1,1000,,LS,Running,9766837,12902960,9766837
openb-pod-0024,16000,49152,1,1000,,LS,Running,9818766,12902960,9818768
openb-pod-0025,4000,15258,1,110,,LS,Running,9823530,10197645,9823530
openb-pod-0026,16000,32768,1,1000,,LS,Running,9924220,9964972,9924222
openb-pod-0027,1000,2048,1,320,,BE,Running,9941376,9972429,9941376
openb-pod-0028,16000,32768,1,1000,,LS,Running,9949982,9978759,9949984
openb-pod-0029,4000,15258,1,220,,BE,Running,9955274,10027972,9955274
openb-pod-0030,16000,32768,1,1000,,LS,Running,9957349,9967333,9957351
openb-pod-0031,16000,32768,1,1000,,LS,Running,9961302,9994357,9961304
openb-pod-0032,6000,12288,1,460,,LS,Running,9963454,9978153,9963454
openb-pod-0033,3152,5600,1,1000,,BE,Failed,9965463,9965645,9965463
openb-pod-0034,16000,32768,1,1000,,LS,Running,9965619,9966774,9965621
openb-pod-0035,16000,32768,1,1000,,LS,Running,9967058,9968575,9967063
openb-pod-0036,3152,5600,1,1000,,BE,Failed,9967204,9967404,9967204
openb-pod-0037,16000,32768,1,1000,,LS,Running,9970479,9971583,9970481
openb-pod-0038,4000,22888,1,480,,BE,Running,9973579,9973962,9973579
openb-pod-0039,4000,15258,1,50,,BE,Running,9973948,9981248,9973949
openb-pod-0040,8000,30517,1,230,,BE,Running,9974338,9981274,9974338
openb-pod-0041,3152,5600,1,1000,,BE,Failed,9976185,9976497,9976185
openb-pod-0042,3152,5600,1,1000,,BE,Failed,9977555,9977866,9977555
openb-pod-0043,6000,18432,1,460,,LS,Running,9980855,10002453,9980855
openb-pod-0044,3152,5600,1,1000,,BE,Failed,9983856,9984198,9983857
openb-pod-0045,3152,5600,1,1000,,BE,Failed,9985207,9985592,9985207
openb-pod-0046,3152,5600,1,1000,,BE,Failed,9989432,9989793,9989432
openb-pod-0047,3152,5600,1,1000,,BE,Failed,9989615,9989817,9989615
openb-pod-0048,8000,30517,0,0,,BE,Running,9992086,10013821,9992086
openb-pod-0049,8000,30517,0,0,,BE,Running,9992086,10013820,9992086
openb-pod-0050,8000,30517,0,0,,BE,Running,9992104,10013762,9992104
openb-pod-0051,4000,15258,1,320,,BE,Running,9993395,9997068,9993395
openb-pod-0052,4000,15258,1,320,,BE,Running,9993396,9997067,9993396
openb-pod-0053,12000,16384,1,1000,,LS,Running,9993753,10061253,9993753
openb-pod-0054,4000,24576,1,1000,,LS,Succeeded,9997763,10001500,9997763
openb-pod-0055,3152,5600,1,1000,,BE,Failed,9999611,9999877,9999611
openb-pod-0056,12000,49152,1,1000,,LS,Succeeded,9999740,9999855,9999740
openb-pod-0057,3152,5600,1,1000,,BE,Failed,9999867,10000083,9999867
openb-pod-0058,8000,16384,1,1000,,LS,Running,10000483,10002335,10000483
openb-pod-0059,11908,47104,1,470,,LS,Running,10000836,10002563,10000838
openb-pod-0060,8000,30517,0,0,,BE,Running,10000884,10013817,10000885
openb-pod-0061,11908,47104,1,1000,,BE,Pending,10001278,10001403,
openb-pod-0062,3152,5600,1,810,,BE,Failed,10001573,10014257,10001606
openb-pod-0063,12000,24576,1,1000,,LS,Running,10001854,10043044,10002793
openb-pod-0064,16000,32768,1,1000,,LS,Running,10002519,10003360,10002522
openb-pod-0065,12000,16384,1,1000,,LS,Running,10002813,10004193,10003093
openb-pod-0066,12000,24576,1,1000,,LS,Failed,10003114,10006715,10004543
openb-pod-0067,4152,10600,1,810,,BE,Failed,10004799,10006010,10004799
openb-pod-0068,3152,5600,1,1000,,BE,Failed,10005625,10005773,10005625
openb-pod-0069,3152,5600,1,1000,,BE,Failed,10008375,10008605,10008375
openb-pod-0070,3152,5600,1,1000,,BE,Failed,10009087,10009227,10009087
openb-pod-0071,18708,64512,1,1000,,LS,Running,10009222,10009356,10009256
openb-pod-0072,18708,64512,1,1000,,LS,Running,10011081,10011118,10011083
openb-pod-0073,3152,5600,1,1000,,BE,Failed,10011177,10011318,10011177
openb-pod-0074,16000,65536,1,1000,,LS,Running,10011398,10019079,10011400
openb-pod-0075,8000,16384,1,1000,,LS,Running,10011759,10012978,10011761
openb-pod-0076,16000,65536,1,1000,,LS,Running,10013436,10014656,10013712
openb-pod-0077,3152,5600,1,1000,,BE,Failed,10013677,10013860,10013677
openb-pod-0078,16000,32768,1,1000,,LS,Running,10013797,10015126,10014212
openb-pod-0079,8000,30517,1,320,,BE,Running,10014736,10015168,10014736
openb-pod-0080,6000,6144,1,460,,LS,Running,10014814,10015743,10014814
openb-pod-0081,4000,15258,1,320,,BE,Running,10014946,10015737,10014947
openb-pod-0082,8000,30517,1,650,,BE,Running,10015701,10015911,10015701
openb-pod-0083,4152,10600,1,550,,BE,Running,10015833,10015943,10015833
openb-pod-0084,11908,47104,1,1000,,BE,Pending,10015849,10015908,
openb-pod-0085,4152,10600,1,550,,BE,Failed,10016935,10016962,10016935
openb-pod-0086,3152,5600,1,1000,,BE,Failed,10017162,10017394,10017162
openb-pod-0087,11908,47104,1,1000,,BE,Running,10017643,10019780,10017677
openb-pod-0088,4152,10600,1,270,,BE,Failed,10017811,10018193,10017811
openb-pod-0089,3152,5600,1,810,,BE,Failed,10018219,10018320,10018284
openb-pod-0090,11908,47104,1,1000,,BE,Pending,10018225,10018268,
openb-pod-0091,3152,5600,1,810,,BE,Failed,10018378,10018530,10018379
openb-pod-0092,8000,30517,1,470,,BE,Running,10018598,10018814,10018599
openb-pod-0093,3152,5600,1,1000,,BE,Failed,10018784,10019004,10018784
openb-pod-0094,18708,64512,1,1000,,LS,Running,10019718,10019822,10019753
openb-pod-0095,4152,10600,1,810,,BE,Failed,10019860,10024488,10019861
openb-pod-0096,18708,64512,1,1000,,LS,Pending,10019975,10020052,
openb-pod-0097,8000,30517,1,320,,BE,Pending,10020010,10020025,
openb-pod-0098,8000,30517,1,320,,BE,Running,10020315,10020891,10020315
openb-pod-0099,3152,5600,1,1000,,BE,Failed,10020698,10020979,10020698
openb-pod-0100,15700,58368,1,1000,,LS,Pending,10021257,10021325,
openb-pod-0101,9810,41560,1,1000,,LS,Pending,10022297,10022402,
openb-pod-0102,12000,16384,1,1000,,LS,Running,10022793,10023874,10022794
openb-pod-0103,8000,30517,1,470,,BE,Pending,10024130,10024189,
openb-pod-0104,8000,30517,1,320,,BE,Running,10024695,10024740,10024695
openb-pod-0105,3152,5600,1,1000,,BE,Failed,10024890,10025087,10024890
openb-pod-0106,18708,64512,1,1000,,LS,Pending,10025123,10025179,
openb-pod-0107,18708,64512,1,1000,,LS,Pending,10025364,10025457,
openb-pod-0108,3152,5600,1,1000,,BE,Failed,10025530,10025731,10025530
openb-pod-0109,4000,15258,1,160,,BE,Running,10027236,10030850,10027236
openb-pod-0110,4000,15258,1,110,,BE,Running,10027236,10030850,10027236
openb-pod-0111,12000,49152,1,1000,,LS,Failed,10027446,10049201,10027446
openb-pod-0112,8000,30517,1,470,,BE,Running,10027539,10027644,10027572
openb-pod-0113,4152,10600,1,550,,BE,Failed,10027911,10193322,10027911
openb-pod-0114,3152,5600,1,590,,BE,Failed,10028213,10028222,10028213
openb-pod-0115,3152,5600,1,1000,,BE,Failed,10028677,10028888,10028678
openb-pod-0116,3152,5600,1,1000,,BE,Failed,10029041,10029258,10029041
openb-pod-0117,3152,5600,1,810,,BE,Failed,10030787,10030939,10030787
openb-pod-0118,3152,5600,1,1000,,BE,Failed,10030840,10031610,10030840
openb-pod-0119,8000,30517,1,470,,BE,Pending,10031736,10031864,
openb-pod-0120,9810,41560,1,1000,,LS,Running,10032059,10032298,10032096
openb-pod-0121,3152,5600,1,1000,,BE,Failed,10032623,10032782,10032623
openb-pod-0122,8000,30517,1,470,,BE,Pending,10032726,10032910,
openb-pod-0123,3152,5600,1,1000,,BE,Failed,10032792,10032933,10032792
openb-pod-0124,12000,32768,1,1000,,LS,Running,10033656,10034855,10033656
openb-pod-0125,6000,6144,1,460,,LS,Running,10033713,10034312,10033713
openb-pod-0126,8000,30517,1,320,,BE,Running,10033926,10053351,10033926
openb-pod-0127,3152,5600,1,1000,,BE,Failed,10034479,10034765,10034479
openb-pod-0128,88000,327680,8,1000,,Burstable,Failed,10034615,10035454,10034615
openb-pod-0129,12000,24576,1,1000,,Guaranteed,Running,10035396,10036353,10035396
openb-pod-0130,12000,15360,1,1000,,LS,Running,10036115,10036713,10036115
openb-pod-0131,3152,5600,1,1000,,BE,Failed,10036187,10036330,10036187
openb-pod-0132,4000,15258,1,220,,BE,Running,10036552,10037685,10036556
openb-pod-0133,3152,5600,1,1000,,BE,Failed,10036751,10036830,10036751
openb-pod-0134,3152,5600,1,810,,BE,Failed,10036875,10090599,10036875
openb-pod-0135,3152,5600,1,1000,,BE,Failed,10037662,10037952,10037729
openb-pod-0136,12000,24576,1,1000,,Burstable,Failed,10037976,10041389,10037976
openb-pod-0137,4000,15258,1,220,,BE,Running,10038341,10038886,10038347
openb-pod-0138,8000,30517,1,470,,BE,Running,10039366,10039699,10039539
openb-pod-0139,8000,30517,1,470,,BE,Running,10039428,10039699,10039564
openb-pod-0140,4000,24576,1,1000,,LS,Succeeded,10039573,10043761,10039574
openb-pod-0141,18708,64512,1,1000,,LS,Running,10039634,10039739,10039637
openb-pod-0142,8000,30517,1,470,,BE,Running,10039873,10040018,10039974
openb-pod-0143,18708,64512,1,1000,,LS,Pending,10040014,10040099,
openb-pod-0144,8000,30517,1,320,,BE,Running,10040570,10059872,10040570
openb-pod-0145,8000,30517,1,220,,BE,Running,10040740,10059930,10040741
openb-pod-0146,18708,64512,1,1000,,LS,Pending,10040966,10041013,
openb-pod-0147,8000,16384,1,1000,,LS,Running,10041157,10042958,10041159
openb-pod-0148,3152,5600,1,1000,,BE,Failed,10041292,10041316,10041292
openb-pod-0149,3152,5600,1,1000,,BE,Failed,10041344,10041514,10041344
openb-pod-0150,3152,5600,1,1000,,BE,Failed,10041954,10042152,10041954
openb-pod-0151,8000,30517,1,470,,BE,Running,10042650,10043285,10042685
openb-pod-0152,18708,64512,1,1000,,LS,Running,10043265,10044780,10043298
openb-pod-0153,12000,16384,1,1000,,LS,Running,10046254,10056753,10046254
openb-pod-0154,6000,12288,1,460,,LS,Running,10046254,10054053,10046254
openb-pod-0155,3152,5600,1,1000,,BE,Failed,10047020,10047140,10047020
openb-pod-0156,3152,5600,1,1000,,BE,Failed,10047038,10047167,10047038
openb-pod-0157,3152,5600,1,1000,,BE,Failed,10047603,10047726,10047603
openb-pod-0158,12000,15360,1,1000,,LS,Running,10049677,10050216,10049677
openb-pod-0159,4000,31250,1,1000,,LS,Running,10050573,10051530,10050573
openb-pod-0160,3152,5600,1,1000,,BE,Failed,10051156,10051315,10051156
openb-pod-0161,16000,32768,1,1000,,LS,Running,10051357,10052739,10051360
openb-pod-0162,3152,5600,1,1000,,BE,Failed,10052128,10052291,10052128
openb-pod-0163,16000,32768,1,1000,,LS,Running,10052438,10053817,10052441
openb-pod-0164,18708,64512,1,1000,,LS,Running,10052820,10052911,10052822
openb-pod-0165,18708,64512,1,1000,,LS,Pending,10053055,10053147,
openb-pod-0166,8000,30517,1,470,,BE,Running,10053065,10053366,10053307
openb-pod-0167,3152,5600,1,1000,,BE,Failed,10053622,10053853,10053622
openb-pod-0168,16000,32768,1,1000,,LS,Running,10054239,10055257,10054241
openb-pod-0169,3152,5600,1,1000,,BE,Failed,10055123,10055357,10055123
openb-pod-0170,6000,22888,1,160,,BE,Running,10056973,10075375,10056973
openb-pod-0171,3152,5600,1,1000,,BE,Failed,10057657,10057940,10057657
openb-pod-0172,3152,5600,1,1000,,BE,Failed,10058979,10059258,10058979
openb-pod-0173,8000,30517,1,650,,BE,Running,10059143,10072223,10059144
openb-pod-0174,3152,5600,1,1000,,BE,Failed,10059169,10059383,10059169
openb-pod-0175,4000,15258,1,220,,BE,Running,10059451,10076839,10059451
openb-pod-0176,3152,5600,1,1000,,BE,Failed,10059776,10060089,10059776
openb-pod-0177,3152,5600,1,1000,,BE,Failed,10059888,10060222,10059888
openb-pod-0178,4000,15258,1,160,,BE,Running,10060370,10062545,10060370
openb-pod-0179,6000,18432,1,460,,LS,Running,10060714,10063085,10060714
openb-pod-0180,8000,65536,1,1000,,LS,Running,10060718,10064437,10060721
openb-pod-0181,12000,24576,1,1000,,Burstable,Succeeded,10061136,10206394,10061136
openb-pod-0182,4000,30517,1,320,,BE,Running,10062602,10068672,10062603
openb-pod-0183,3152,5600,1,1000,,BE,Failed,10065188,10065418,10065192
openb-pod-0184,3152,5600,1,1000,,BE,Failed,10065461,10065832,10065462
openb-pod-0185,3152,5600,1,1000,,BE,Failed,10066995,10067337,10066995
openb-pod-0186,3152,5600,1,1000,,BE,Failed,10068089,10068441,10068089
openb-pod-0187,8000,65536,1,1000,,LS,Running,10071515,10072359,10071517
openb-pod-0188,12000,24576,1,1000,,Burstable,Failed,10072956,10142269,10072956
openb-pod-0189,16000,32768,1,1000,,LS,Succeeded,10072977,10072996,10072978
openb-pod-0190,3152,5600,1,1000,,BE,Failed,10073827,10074020,10073827
openb-pod-0191,3152,5600,1,1000,,BE,Failed,10075751,10075949,10075751
openb-pod-0192,3152,5600,1,1000,,BE,Failed,10076540,10076841,10076540
openb-pod-0193,3152,5600,1,1000,,BE,Failed,10076597,10076904,10076598
openb-pod-0194,4000,15258,1,220,,BE,Running,10077065,10084784,10077066
openb-pod-0195,3152,5600,1,1000,,BE,Failed,10077174,10077492,10077175
openb-pod-0196,8000,30517,0,0,,BE,Running,10078477,10102841,10078477
openb-pod-0197,3152,5600,1,1000,,BE,Failed,10079174,10079481,10079174
openb-pod-0198,3152,5600,1,1000,,BE,Failed,10079912,10080134,10079913
openb-pod-0199,8000,16384,1,1000,,LS,Running,10081543,10082559,10081546
openb-pod-0200,3152,5600,1,1000,,BE,Failed,10082034,10082233,10082034
openb-pod-0201,4000,24576,1,1000,,LS,Succeeded,10082398,10086587,10082398
openb-pod-0202,4000,31250,1,1000,,LS,Running,10084139,10085042,10084140
openb-pod-0203,8000,30517,0,0,,BE,Running,10084399,10085429,10084399
openb-pod-0204,3152,5600,1,1000,,BE,Failed,10086450,10086635,10086450
openb-pod-0205,3152,5600,1,1000,,BE,Failed,10087455,10087648,10087455
openb-pod-0206,11908,47104,1,470,,LS,Running,10087711,10088979,10087747
openb-pod-0207,3152,5600,1,1000,,BE,Failed,10087754,10087980,10087754
openb-pod-0208,11908,47104,1,1000,,BE,Running,10087849,10088060,10088024
openb-pod-0209,4000,16384,1,1000,,LS,Running,10088207,10088264,10088207
openb-pod-0210,12500,65536,0,0,,LS,Pending,10088756,10088769,
openb-pod-0211,12000,24576,1,1000,,LS,Failed,10088963,10089478,10088963
openb-pod-0212,3152,5600,1,1000,,BE,Failed,10089624,10089859,10089625
openb-pod-0213,18708,64512,1,1000,,LS,Running,10089802,10090873,10089977
openb-pod-0214,4000,30517,1,230,,BE,Running,10090200,10090383,10090268
openb-pod-0215,3152,5600,1,1000,,BE,Failed,10090303,10090491,10090303
openb-pod-0216,11908,47104,1,470,,LS,Running,10090557,10090685,10090592
openb-pod-0217,11908,47104,1,470,,LS,Pending,10090598,10090685,
openb-pod-0218,18708,64512,1,1000,,LS,Running,10090801,10091982,10090942
openb-pod-0219,4000,15258,1,320,,BE,Running,10091052,10092265,10091056
openb-pod-0220,3152,5600,1,1000,,BE,Failed,10091074,10091286,10091074
openb-pod-0221,11908,47104,1,470,,LS,Running,10091866,10094509,10091903
