name,cpu_milli,memory_mib,num_gpu,gpu_milli
openb-pod-0000,12000,16384,1,1000
openb-pod-0001,6000,12288,1,460
openb-pod-0002,12000,24576,1,1000
openb-pod-0003,6000,12288,1,460
openb-pod-0004,12000,16384,1,1000
openb-pod-0005,20000,65536,0,0
openb-pod-0006,4000,16384,1,1000
openb-pod-0007,12000,16384,1,1000
openb-pod-0008,12000,16384,1,1000
openb-pod-0009,12000,16384,1,1000
openb-pod-0010,16000,49152,1,1000
openb-pod-0011,6000,8192,1,460
openb-pod-0012,8000,32768,1,1000
openb-pod-0013,8000,16384,1,1000
openb-pod-0014,16000,65536,1,1000
openb-pod-0015,16000,49152,1,1000
openb-pod-0016,32000,65536,0,0
openb-pod-0017,88000,327680,8,1000
openb-pod-0018,6000,6144,1,460
openb-pod-0019,8000,30517,1,470
openb-pod-0020,8000,30517,1,470
openb-pod-0021,8000,30517,1,440
openb-pod-0022,4000,15258,1,220
openb-pod-0023,12000,24576,1,1000
openb-pod-0024,16000,49152,1,1000
openb-pod-0025,4000,15258,1,110
openb-pod-0026,16000,32768,1,1000
openb-pod-0027,1000,2048,1,320
openb-pod-0028,16000,32768,1,1000
openb-pod-0029,4000,15258,1,220
openb-pod-0030,16000,32768,1,1000
openb-pod-0031,16000,32768,1,1000
openb-pod-0032,6000,12288,1,460
openb-pod-0033,3152,5600,1,1000
openb-pod-0034,16000,32768,1,1000
openb-pod-0035,16000,32768,1,1000
openb-pod-0036,3152,5600,1,1000
openb-pod-0037,16000,32768,1,1000
openb-pod-0038,4000,22888,1,480
openb-pod-0039,4000,15258,1,50
openb-pod-0040,8000,30517,1,230
openb-pod-0041,3152,5600,1,1000
openb-pod-0042,3152,5600,1,1000
openb-pod-0043,6000,18432,1,460
openb-pod-0044,3152,5600,1,1000
openb-pod-0045,3152,5600,1,1000
openb-pod-0046,3152,5600,1,1000
openb-pod-0047,3152,5600,1,1000
openb-pod-0048,8000,30517,0,0
openb-pod-0049,8000,30517,0,0
openb-pod-0050,8000,30517,0,0
openb-pod-0051,4000,15258,1,320
openb-pod-0052,4000,15258,1,320
openb-pod-0053,12000,16384,1,1000
openb-pod-0054,4000,24576,1,1000
openb-pod-0055,3152,5600,1,1000
openb-pod-0056,12000,49152,1,1000
openb-pod-0057,3152,5600,1,1000
openb-pod-0058,8000,16384,1,1000
openb-pod-0059,11908,47104,1,470
openb-pod-0060,8000,30517,0,0
openb-pod-0061,11908,47104,1,1000
openb-pod-0062,3152,5600,1,810
openb-pod-0063,12000,24576,1,1000
openb-pod-0064,16000,32768,1,1000
openb-pod-0065,12000,16384,1,1000
openb-pod-0066,12000,24576,1,1000
openb-pod-0067,4152,10600,1,810
openb-pod-0068,3152,5600,1,1000
openb-pod-0069,3152,5600,1,1000
openb-pod-0070,3152,5600,1,1000
openb-pod-0071,18708,64512,1,1000
openb-pod-0072,18708,64512,1,1000
openb-pod-0073,3152,5600,1,1000
openb-pod-0074,16000,65536,1,1000
openb-pod-0075,8000,16384,1,1000
openb-pod-0076,16000,65536,1,1000
openb-pod-0077,3152,5600,1,1000
openb-pod-0078,16000,32768,1,1000
openb-pod-0079,8000,30517,1,320
openb-pod-0080,6000,6144,1,460
openb-pod-0081,4000,15258,1,320
openb-pod-0082,8000,30517,1,650
openb-pod-0083,4152,10600,1,550
openb-pod-0084,11908,47104,1,1000
openb-pod-0085,4152,10600,1,550
openb-pod-0086,3152,5600,1,1000
openb-pod-0087,11908,47104,1,1000
openb-pod-0088,4152,10600,1,270
openb-pod-0089,3152,5600,1,810
openb-pod-0090,11908,47104,1,1000
openb-pod-0091,3152,5600,1,810
openb-pod-0092,8000,30517,1,470
openb-pod-0093,3152,5600,1,1000
openb-pod-0094,18708,64512,1,1000
openb-pod-0095,4152,10600,1,810
openb-pod-0096,18708,64512,1,1000
openb-pod-0097,8000,30517,1,320
openb-pod-0098,8000,30517,1,320
openb-pod-0099,3152,5600,1,1000
openb-pod-0100,15700,58368,1,1000
openb-pod-0101,9810,41560,1,1000
openb-pod-0102,12000,16384,1,1000
openb-pod-0103,8000,30517,1,470
openb-pod-0104,8000,30517,1,320
openb-pod-0105,3152,5600,1,1000
openb-pod-0106,18708,64512,1,1000
openb-pod-0107,18708,64512,1,1000
openb-pod-0108,3152,5600,1,1000
openb-pod-0109,4000,15258,1,160
openb-pod-0110,4000,15258,1,110
openb-pod-0111,12000,49152,1,1000
openb-pod-0112,8000,30517,1,470
openb-pod-0113,4152,10600,1,550
openb-pod-0114,3152,5600,1,590
openb-pod-0115,3152,5600,1,1000
openb-pod-0116,3152,5600,1,1000
openb-pod-0117,3152,5600,1,810
openb-pod-0118,3152,5600,1,1000
openb-pod-0119,8000,30517,1,470
openb-pod-0120,9810,41560,1,1000
openb-pod-0121,3152,5600,1,1000
openb-pod-0122,8000,30517,1,470
openb-pod-0123,3152,5600,1,1000
openb-pod-0124,12000,32768,1,1000
openb-pod-0125,6000,6144,1,460
openb-pod-0126,8000,30517,1,320
openb-pod-0127,3152,5600,1,1000
openb-pod-0128,88000,327680,8,1000
openb-pod-0129,12000,24576,1,1000
openb-pod-0130,12000,15360,1,1000
openb-pod-0131,3152,5600,1,1000
openb-pod-0132,4000,15258,1,220
openb-pod-0133,3152,5600,1,1000
openb-pod-0134,3152,5600,1,810
openb-pod-0135,3152,5600,1,1000
openb-pod-0136,12000,24576,1,1000
openb-pod-0137,4000,15258,1,220
openb-pod-0138,8000,30517,1,470
openb-pod-0139,8000,30517,1,470
openb-pod-0140,4000,24576,1,1000
openb-pod-0141,18708,64512,1,1000
openb-pod-0142,8000,30517,1,470
openb-pod-0143,18708,64512,1,1000
openb-pod-0144,8000,30517,1,320
openb-pod-0145,8000,30517,1,220
openb-pod-0146,18708,64512,1,1000
openb-pod-0147,8000,16384,1,1000
openb-pod-0148,3152,5600,1,1000
openb-pod-0149,3152,5600,1,1000
openb-pod-0150,3152,5600,1,1000
openb-pod-0151,8000,30517,1,470
openb-pod-0152,18708,64512,1,1000
openb-pod-0153,12000,16384,1,1000
openb-pod-0154,6000,12288,1,460
openb-pod-0155,3152,5600,1,1000
openb-pod-0156,3152,5600,1,1000
openb-pod-0157,3152,5600,1,1000
openb-pod-0158,12000,15360,1,1000
openb-pod-0159,4000,31250,1,1000
openb-pod-0160,3152,5600,1,1000
openb-pod-0161,16000,32768,1,1000
openb-pod-0162,3152,5600,1,1000
openb-pod-0163,16000,32768,1,1000
openb-pod-0164,18708,64512,1,1000
openb-pod-0165,18708,64512,1,1000
openb-pod-0166,8000,30517,1,470
openb-pod-0167,3152,5600,1,1000
openb-pod-0168,16000,32768,1,1000
openb-pod-0169,3152,5600,1,1000
openb-pod-0170,6000,22888,1,160
openb-pod-0171,3152,5600,1,1000
openb-pod-0172,3152,5600,1,1000
openb-pod-0173,8000,30517,1,650
openb-pod-0174,3152,5600,1,1000
openb-pod-0175,4000,15258,1,220
openb-pod-0176,3152,5600,1,1000
openb-pod-0177,3152,5600,1,1000
openb-pod-0178,4000,15258,1,160
openb-pod-0179,6000,18432,1,460
openb-pod-0180,8000,65536,1,1000
openb-pod-0181,12000,24576,1,1000
openb-pod-0182,4000,30517,1,320
openb-pod-0183,3152,5600,1,1000
openb-pod-0184,3152,5600,1,1000
openb-pod-0185,3152,5600,1,1000
openb-pod-0186,3152,5600,1,1000
openb-pod-0187,8000,65536,1,1000
openb-pod-0188,12000,24576,1,1000
openb-pod-0189,16000,32768,1,1000
openb-pod-0190,3152,5600,1,1000
openb-pod-0191,3152,5600,1,1000
openb-pod-0192,3152,5600,1,1000
openb-pod-0193,3152,5600,1,1000
openb-pod-0194,4000,15258,1,220
openb-pod-0195,3152,5600,1,1000
openb-pod-0196,8000,30517,0,0
openb-pod-0197,3152,5600,1,1000
openb-pod-0198,3152,5600,1,1000
openb-pod-0199,8000,16384,1,1000
openb-pod-0200,3152,5600,1,1000
openb-pod-0201,4000,24576,1,1000
openb-pod-0202,4000,31250,1,1000
openb-pod-0203,8000,30517,0,0
openb-pod-0204,3152,5600,1,1000
openb-pod-0205,3152,5600,1,1000
openb-pod-0206,11908,47104,1,470
openb-pod-0207,3152,5600,1,1000
openb-pod-0208,11908,47104,1,1000
openb-pod-0209,4000,16384,1,1000
openb-pod-0210,12500,65536,0,0
openb-pod-0211,12000,24576,1,1000
openb-pod-0212,3152,5600,1,1000
openb-pod-0213,18708,64512,1,1000
openb-pod-0214,4000,30517,1,230
openb-pod-0215,3152,5600,1,1000
openb-pod-0216,11908,47104,1,470
openb-pod-0217,11908,47104,1,470
openb-pod-0218,18708,64512,1,1000
openb-pod-0219,4000,15258,1,320
openb-pod-0220,3152,5600,1,1000
openb-pod-0221,11908,47104,1,470
openb-pod-0222,8000,30517,1,220
openb-pod-0223,8000,30517,1,470
openb-pod-0224,4000,30517,1,230
openb-pod-0225,3152,5600,1,1000
openb-pod-0226,8000,32768,1,1000
openb-pod-0227,3152,5600,1,1000
