gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora
2024-11-15 16:57:50,TXT_2_IMG,SUCCEED,32.0,G0000,63.0,26.0,1.0,30.0,M0000,0
2024-11-15 18:16:14,TXT_2_IMG,SUCCEED,43.0,G0001,93.0,,1.0,40.0,M0001,0
2024-11-15 18:17:06,TXT_2_IMG,SUCCEED,36.0,G0001,93.0,,8.0,40.0,M0001,0
2024-11-15 18:17:16,IMG_2_IMG,SUCCEED,53.0,G0001,93.0,,8.0,40.0,M0001,0
2024-11-15 18:21:34,IMG_2_IMG,SUCCEED,51.0,G0001,79.0,,8.0,40.0,M0001,0
2024-11-15 18:24:26,IMG_2_IMG,SUCCEED,37.0,G0001,149.0,,8.0,40.0,M0001,0
2024-11-15 18:26:25,IMG_2_IMG,SUCCEED,51.0,G0001,163.0,,8.0,40.0,M0001,0
2024-11-15 18:28:07,IMG_2_IMG,SUCCEED,54.0,G0001,177.0,,8.0,40.0,M0001,0
2024-11-15 18:35:15,TXT_2_IMG,SUCCEED,15.0,G0001,12.0,,1.0,40.0,M0001,0
2024-11-15 18:35:21,INPAINTING,SUCCEED,9.0,G0001,12.0,,1.0,40.0,M0001,0
2024-11-15 18:35:53,INPAINTING,SUCCEED,13.0,G0001,12.0,,8.0,40.0,M0001,0
2024-11-15 18:36:50,TXT_2_IMG,SUCCEED,32.0,G0002,107.0,26.0,4.0,30.0,M0002,0
2024-11-15 18:37:21,INPAINTING,SUCCEED,31.0,G0001,105.0,,8.0,40.0,M0001,0
2024-11-15 18:38:16,INPAINTING,SUCCEED,15.0,G0001,105.0,,8.0,40.0,M0001,0
2024-11-15 18:39:07,INPAINTING,SUCCEED,15.0,G0001,112.0,,8.0,40.0,M0001,0
2024-11-15 18:40:12,INPAINTING,SUCCEED,16.0,G0001,112.0,,8.0,40.0,M0001,0
2024-11-15 18:41:04,INPAINTING,SUCCEED,15.0,G0001,112.0,,8.0,40.0,M0001,0
2024-11-15 18:43:58,INPAINTING,SUCCEED,15.0,G0001,9.0,,8.0,40.0,M0001,0
2024-11-15 18:44:33,INPAINTING,SUCCEED,13.0,G0001,9.0,,8.0,40.0,M0001,0
2024-11-15 18:44:57,INPAINTING,SUCCEED,25.0,G0001,9.0,,8.0,100.0,M0001,0
2024-11-15 18:46:08,INPAINTING,SUCCEED,24.0,G0001,97.0,,8.0,100.0,M0001,0
2024-11-15 18:51:46,INPAINTING,SUCCEED,22.0,G0001,6.0,,8.0,100.0,M0001,0
2024-11-15 19:05:24,TXT_2_IMG,SUCCEED,49.0,G0003,26.0,,1.0,30.0,M0003,1
2024-11-15 19:08:31,TXT_2_IMG,SUCCEED,48.0,G0003,31.0,,1.0,30.0,M0003,1
2024-11-15 19:09:16,TXT_2_IMG,SUCCEED,48.0,G0003,31.0,,1.0,30.0,M0003,1
2024-11-15 19:11:21,TXT_2_IMG,SUCCEED,52.0,G0003,30.0,,8.0,30.0,M0003,1
2024-11-15 19:12:16,TXT_2_IMG,SUCCEED,24.0,G0001,83.0,,1.0,40.0,M0001,0
2024-11-15 19:12:36,TXT_2_IMG,SUCCEED,25.0,G0001,81.0,,8.0,40.0,M0001,0
2024-11-15 19:13:15,TXT_2_IMG,SUCCEED,53.0,G0003,31.0,,8.0,30.0,M0003,1
2024-11-15 19:13:15,INPAINTING,SUCCEED,26.0,G0001,81.0,,8.0,40.0,M0001,0
2024-11-15 19:14:14,INPAINTING,SUCCEED,24.0,G0001,89.0,,8.0,40.0,M0001,0
2024-11-15 19:16:06,TXT_2_IMG,SUCCEED,46.0,G0003,120.0,,8.0,30.0,M0003,1
2024-11-15 19:21:33,TXT_2_IMG,SUCCEED,47.0,G0003,149.0,,8.0,30.0,M0003,1
2024-11-15 19:33:46,TXT_2_IMG,SUCCEED,46.0,G0003,64.0,,8.0,30.0,M0003,1
2024-11-15 19:36:52,TXT_2_IMG,SUCCEED,47.0,G0003,113.0,,8.0,30.0,M0003,1
2024-11-15 19:40:47,TXT_2_IMG,SUCCEED,35.0,G0003,113.0,,8.0,30.0,M0003,1
2024-11-15 19:43:14,TXT_2_IMG,SUCCEED,48.0,G0003,113.0,,8.0,30.0,M0003,1
2024-11-15 19:46:22,TXT_2_IMG,SUCCEED,31.0,G0003,113.0,,8.0,30.0,M0003,1
2024-11-15 19:49:48,TXT_2_IMG,SUCCEED,33.0,G0003,120.0,,8.0,30.0,M0003,1
2024-11-15 19:51:50,TXT_2_IMG,SUCCEED,34.0,G0003,120.0,,8.0,30.0,M0003,1
2024-11-15 20:47:12,IMG_2_IMG,SUCCEED,49.0,G0004,21.0,26.0,8.0,30.0,M0004,0
2024-11-15 20:54:35,IMG_2_IMG,SUCCEED,69.0,G0004,20.0,26.0,4.0,30.0,M0004,0
2024-11-15 20:55:59,IMG_2_IMG,SUCCEED,72.0,G0004,12.0,26.0,4.0,30.0,M0004,0
2024-11-15 20:59:24,TXT_2_IMG,SUCCEED,17.0,G0004,61.0,26.0,4.0,30.0,M0002,0
2024-11-15 21:00:18,TXT_2_IMG,SUCCEED,27.0,G0004,55.0,26.0,4.0,30.0,M0002,0
2024-11-15 22:15:17,TXT_2_IMG,SUCCEED,20.0,G0005,54.0,26.0,2.0,30.0,M0002,0
2024-11-15 22:17:11,TXT_2_IMG,SUCCEED,21.0,G0005,46.0,26.0,4.0,30.0,M0002,0
2024-11-15 22:19:44,TXT_2_IMG,SUCCEED,21.0,G0005,68.0,26.0,4.0,30.0,M0005,0
2024-11-15 22:21:02,TXT_2_IMG,SUCCEED,24.0,G0005,68.0,26.0,4.0,30.0,M0002,0
2024-11-15 22:34:05,TXT_2_IMG,SUCCEED,10.0,G0005,40.0,26.0,4.0,30.0,M0002,0
2024-11-15 22:35:23,TXT_2_IMG,SUCCEED,13.0,G0006,9.0,26.0,1.0,30.0,M0004,0
2024-11-15 22:36:11,TXT_2_IMG,SUCCEED,16.0,G0005,48.0,26.0,4.0,30.0,M0002,0
