gpu_model,gpu_capacity_num,cpu_num,node_name
GPU-series-1,4,192,0
GPU-series-1,1,192,1
A10,1,128,2
A100-SXM4-80GB,8,128,3
GPU-series-1,1,192,4
GPU-series-1,1,192,5
A10,1,128,6
A10,1,128,7
A10,1,128,8
A10,1,128,9
A10,1,128,10
A10,1,128,11
A10,1,128,12
A100-SXM4-80GB,8,128,13
GPU-series-1,1,192,14
A10,1,128,15
A10,1,128,16
A100-SXM4-80GB,8,128,17
GPU-series-1,1,192,18
A10,1,128,19
A10,1,128,20
A10,1,128,21
A10,1,128,22
GPU-series-2,8,192,23
GPU-series-1,1,192,24
GPU-series-1,1,192,25
GPU-series-1,1,192,26
H800,8,192,27
A100-SXM4-80GB,8,128,28
A100-SXM4-80GB,8,128,29
A10,1,128,30
A10,1,128,31
A100-SXM4-80GB,8,128,32
A10,1,128,33
A100-SXM4-80GB,8,128,34
GPU-series-1,1,192,35
GPU-series-1,1,192,36
A10,1,128,37
H800,8,192,38
A10,1,128,39
A10,1,128,40
A10,1,128,41
A10,1,128,42
A10,1,128,43
A10,1,128,44
A10,1,128,45
A10,1,128,46
A10,1,128,47
A10,1,128,48
A10,1,128,49
A100-SXM4-80GB,8,128,50
A10,1,128,51
A10,1,128,52
A10,1,128,53
GPU-series-1,1,192,54
A10,1,128,55
A10,1,128,56
A10,1,128,57
A10,1,128,58
A10,1,128,59
A10,1,128,60
GPU-series-1,1,192,61
A10,1,128,62
A10,1,128,63
H800,8,192,64
GPU-series-1,1,192,65
GPU-series-1,1,192,66
GPU-series-1,1,192,67
A10,1,128,68
A10,1,128,69
A10,1,128,70
A100-SXM4-80GB,8,128,71
A10,1,128,72
A100-SXM4-80GB,8,128,73
GPU-series-2,8,192,74
A10,1,128,75
A10,1,128,76
A100-SXM4-80GB,8,128,77
A100-SXM4-80GB,8,128,78
A10,1,128,79
A10,1,128,80
A10,1,128,81
A10,1,128,82
A100-SXM4-80GB,8,128,83
A10,1,128,84
A10,1,128,85
A800-SXM4-80GB,8,128,86
A10,1,128,87
A10,1,128,88
A10,1,128,89
A10,1,128,90
GPU-series-1,1,192,91
A10,1,128,92
A10,1,128,93
A10,1,128,94
A10,1,128,95
GPU-series-1,1,192,96
A10,1,128,97
A10,1,128,98
A10,1,128,99
A10,1,128,100
A100-SXM4-80GB,8,128,101
GPU-series-1,8,192,102
GPU-series-1,1,192,103
A10,1,128,104
A10,1,128,105
A10,1,128,106
A10,1,128,107
A10,1,128,108
A10,1,128,109
A100-SXM4-80GB,8,128,110
A10,1,128,111
A10,1,128,112
GPU-series-1,1,192,113
A10,1,128,114
A10,1,128,115
GPU-series-1,8,192,116
A10,1,128,117
GPU-series-1,1,192,118
A10,1,128,119
A10,1,128,120
H800,8,192,121
A100-SXM4-80GB,8,128,122
A10,1,128,123
GPU-series-1,1,192,124
H800,8,192,125
A10,1,128,126
A10,1,128,127
GPU-series-1,1,192,128
A10,1,128,129
A10,1,128,130
GPU-series-1,1,192,131
A10,1,128,132
A100-SXM4-80GB,8,128,133
A10,1,128,134
A10,1,128,135
GPU-series-2,8,192,136
A10,1,128,137
A10,1,128,138
A10,1,128,139
GPU-series-1,1,192,141
A100-SXM4-80GB,8,128,142
A10,1,128,143
GPU-series-1,1,192,144
GPU-series-1,1,192,145
A10,1,128,146
GPU-series-1,1,192,147
GPU-series-1,1,192,148
GPU-series-1,1,192,149
A10,1,128,150
A10,1,128,151
A10,1,128,152
H800,8,192,153
GPU-series-2,8,192,154
A10,1,128,155
GPU-series-1,1,192,156
GPU-series-1,1,192,157
A800-SXM4-80GB,8,128,158
A10,1,128,159
A10,1,128,160
A10,1,128,161
A100-SXM4-80GB,8,128,162
GPU-series-1,1,192,163
A10,1,128,164
A10,1,128,165
A10,1,128,166
GPU-series-1,1,192,167
A10,1,128,168
A10,1,128,169
A10,1,128,170
A100-SXM4-80GB,8,128,171
A10,1,128,172
GPU-series-1,1,192,173
GPU-series-1,1,192,174
A10,1,128,175
A10,1,128,176
A10,1,128,177
A100-SXM4-80GB,8,128,178
H800,8,192,179
A10,1,128,180
A10,1,128,181
A100-SXM4-80GB,8,128,182
A10,1,128,183
A10,1,128,184
A10,1,128,185
A10,1,128,186
A10,1,128,187
A10,1,128,188
A10,1,128,189
A10,1,128,190
A10,1,128,191
A10,1,128,192
A10,1,128,193
A10,1,128,194
GPU-series-1,1,192,195
A10,1,128,196
GPU-series-2,8,192,197
GPU-series-1,1,192,198
A10,1,128,199
A10,1,128,200
A10,1,128,202
GPU-series-2,8,192,203
A10,1,128,204
GPU-series-2,8,192,205
H800,8,192,206
A10,1,128,207
A10,1,128,208
H800,8,192,209
A10,1,128,210
GPU-series-1,1,192,211
A10,1,128,212
A10,1,128,213
A10,1,128,214
A10,1,128,215
A10,1,128,216
H800,8,192,217
GPU-series-1,8,192,218
A100-SXM4-80GB,8,128,220
A10,1,128,221
A10,1,128,222
GPU-series-1,1,192,223
A10,1,128,224
A10,1,128,225
A10,1,128,226
A10,1,128,227
GPU-series-1,1,192,228
A10,1,128,229
GPU-series-1,1,192,230
GPU-series-1,1,192,231
GPU-series-1,1,192,232
A10,1,128,233
A10,1,128,234
A10,1,128,235
GPU-series-2,8,192,236
A10,1,128,237
GPU-series-1,1,192,238
A10,1,128,239
A10,1,128,240
GPU-series-1,1,192,241
A10,1,128,242
A100-SXM4-80GB,8,128,243
A10,1,128,245
GPU-series-1,1,192,246
A10,1,128,247
A10,1,128,248
GPU-series-1,8,192,249
GPU-series-1,1,192,250
A10,1,128,251
A10,1,128,252
GPU-series-2,8,192,253
A10,1,128,254
H800,8,192,255
GPU-series-1,1,192,256
GPU-series-1,1,192,257
A10,1,128,258
A100-SXM4-80GB,8,128,259
A100-SXM4-80GB,8,128,260
GPU-series-1,1,192,261
GPU-series-1,1,192,262
H800,8,192,263
GPU-series-1,8,192,264
A10,1,128,265
A10,1,128,266
A10,1,128,267
A10,1,128,268
A10,1,128,269
GPU-series-1,8,192,270
GPU-series-1,1,192,271
GPU-series-1,8,192,272
A100-SXM4-80GB,8,128,273
A800-SXM4-80GB,8,128,274
A10,1,128,275
A100-SXM4-80GB,8,128,276
GPU-series-1,1,192,277
A100-SXM4-80GB,8,128,278
A10,1,128,279
GPU-series-1,1,192,280
A100-SXM4-80GB,8,128,281
A10,1,128,282
A10,1,128,283
A10,1,128,284
GPU-series-2,8,192,285
A10,1,128,286
A10,1,128,287
A10,1,128,288
GPU-series-1,1,192,289
A10,1,128,290
A10,1,128,291
A100-SXM4-80GB,8,128,292
GPU-series-1,8,192,293
A10,1,128,294
A10,1,128,295
A10,1,128,296
A10,1,128,297
A10,1,128,298
A10,1,128,299
A10,1,128,300
GPU-series-2,8,192,301
GPU-series-1,1,192,302
A10,1,128,303
GPU-series-1,1,192,304
A10,1,128,305
A10,1,128,306
A10,1,128,307
GPU-series-1,1,192,308
GPU-series-2,8,192,309
A10,1,128,310
GPU-series-1,1,192,311
A10,1,128,312
A10,1,128,313
GPU-series-1,1,192,314
A10,1,128,315
A10,1,128,316
A10,1,128,317
GPU-series-1,1,192,318
GPU-series-1,1,192,319
A100-SXM4-80GB,8,128,320
A100-SXM4-80GB,8,128,321
GPU-series-1,1,192,322
A100-SXM4-80GB,8,128,323
GPU-series-1,1,192,324
GPU-series-2,8,192,325
GPU-series-1,1,192,326
A10,1,128,327
A10,1,128,328
A10,1,128,329
A100-SXM4-80GB,8,128,330
A10,1,128,331
GPU-series-1,1,192,332
A10,1,128,333
A10,1,128,334
A10,1,128,335
A10,1,128,336
A10,1,128,337
GPU-series-1,8,192,338
A10,1,128,339
A10,1,128,340
A10,1,128,341
GPU-series-1,1,192,343
GPU-series-1,1,192,344
A100-SXM4-80GB,8,128,345
GPU-series-1,8,192,346
A100-SXM4-80GB,8,128,347
A100-SXM4-80GB,8,128,348
A10,1,128,349
GPU-series-1,1,192,350
A10,1,128,351
A10,1,128,352
A10,1,128,353
A10,1,128,354
A100-SXM4-80GB,8,128,355
A10,1,128,356
A10,1,128,357
GPU-series-1,1,192,358
GPU-series-1,1,192,359
GPU-series-1,1,192,360
GPU-series-1,1,192,361
A10,1,128,362
GPU-series-1,1,192,363
A10,1,128,364
A100-SXM4-80GB,8,128,365
GPU-series-1,1,192,366
GPU-series-1,1,192,367
A10,1,128,368
A10,1,128,369
A10,1,128,370
A10,1,128,371
GPU-series-1,1,192,372
A10,1,128,373
A10,1,128,374
A10,1,128,375
A10,1,128,376
A10,1,128,377
A10,1,128,378
A10,1,128,379
A10,1,128,380
A10,1,128,381
GPU-series-1,1,192,382
A10,1,128,383
A100-SXM4-80GB,8,128,384
A10,1,128,385
A10,1,128,386
A10,1,128,387
A10,1,128,388
A10,1,128,389
A10,1,128,390
GPU-series-2,8,192,391
A10,1,128,392
A10,1,128,393
A100-SXM4-80GB,8,128,394
A10,1,128,395
GPU-series-1,1,192,396
GPU-series-1,1,192,397
GPU-series-1,1,192,398
A10,1,128,399
A10,1,128,400
H800,8,192,401
GPU-series-2,8,192,402
A10,1,128,403
GPU-series-1,8,192,404
GPU-series-1,1,192,405
A100-SXM4-80GB,8,128,406
A10,1,128,407
A10,1,128,408
A10,1,128,409
GPU-series-1,1,192,410
GPU-series-1,1,192,411
A100-SXM4-80GB,8,128,412
A10,1,128,413
A10,1,128,414
A10,1,128,415
A100-SXM4-80GB,8,128,416
A10,1,128,417
A100-SXM4-80GB,8,128,418
GPU-series-1,1,192,419
GPU-series-1,1,192,420
A100-SXM4-80GB,8,128,421
A10,1,128,422
A10,1,128,423
H800,8,192,424
A10,1,128,425
A10,1,128,426
A10,1,128,427
A10,1,128,428
A100-SXM4-80GB,8,128,429
A100-SXM4-80GB,8,128,430
A10,1,128,431
A10,1,128,432
A100-SXM4-80GB,8,128,433
A10,1,128,434
A10,1,128,435
A10,1,128,436
A10,1,128,437
A10,1,128,438
A10,1,128,439
A10,1,128,440
GPU-series-1,1,192,441
GPU-series-1,1,192,442
GPU-series-1,1,192,443
A10,1,128,444
GPU-series-1,1,192,445
A10,1,128,446
GPU-series-1,1,192,447
GPU-series-1,1,192,448
A10,1,128,449
GPU-series-1,1,192,450
A10,1,128,451
A100-SXM4-80GB,8,128,452
GPU-series-1,1,192,453
H800,8,192,454
A10,1,128,455
A10,1,128,456
A100-SXM4-80GB,8,128,457
GPU-series-1,1,192,458
A10,1,128,459
A10,1,128,460
A10,1,128,461
H800,8,192,462
A10,1,128,463
A10,1,128,464
GPU-series-1,1,192,465
A10,1,126,466
A10,1,128,467
A10,1,128,468
GPU-series-1,1,192,469
A10,1,128,470
GPU-series-1,1,192,471
GPU-series-2,8,192,472
A10,1,128,473
A10,1,128,474
A10,1,128,475
H800,8,192,476
GPU-series-1,1,192,477
A10,1,128,478
A10,1,128,479
A10,1,128,480
GPU-series-1,1,192,481
H800,8,192,482
A10,1,128,483
H800,8,192,484
A10,1,128,485
GPU-series-1,1,192,486
A10,1,128,487
GPU-series-1,1,192,488
H800,8,192,489
A10,1,128,491
A10,1,128,492
A10,1,128,493
A100-SXM4-80GB,8,128,494
A10,1,128,495
A10,1,128,496
A10,1,128,497
A10,1,128,498
GPU-series-1,1,192,499
A10,1,128,500
GPU-series-1,1,192,501
H800,8,192,502
A10,1,128,503
A100-SXM4-80GB,8,128,504
A10,1,128,505
A10,1,128,506
A10,1,128,507
A100-SXM4-80GB,8,128,508
GPU-series-1,1,192,509
GPU-series-1,8,192,510
A100-SXM4-80GB,8,128,511
A10,1,128,512
A10,1,128,513
A10,1,128,514
A100-SXM4-80GB,8,128,515
A10,1,128,516
A100-SXM4-80GB,8,128,517
A10,1,128,518
GPU-series-1,1,192,519
A10,1,128,520
A10,1,128,521
A10,1,128,522
A10,1,128,523
A10,1,128,524
GPU-series-1,1,192,525
A10,1,128,526
A10,1,128,527
A10,1,128,528
A10,1,128,529
GPU-series-1,1,192,530
A10,1,128,531
A10,1,128,532
A10,1,128,533
A10,1,128,534
H800,8,192,535
A10,1,128,536
H800,8,192,537
GPU-series-1,1,192,538
A10,1,128,539
A10,1,128,540
A10,1,128,541
A10,1,128,542
H800,8,192,543
H800,8,192,544
A10,1,128,545
A10,1,128,546
A10,1,128,547
GPU-series-1,8,192,548
A10,1,128,549
A10,1,128,550
GPU-series-1,1,192,551
GPU-series-1,1,192,552
A10,1,128,553
A10,1,128,554
GPU-series-2,8,192,555
GPU-series-1,1,192,556
H800,8,192,557
A10,1,128,558
GPU-series-2,8,192,559
A10,1,128,560
A10,1,128,561
A10,1,128,563
A10,1,128,564
H800,8,192,565
GPU-series-1,1,192,566
A100-SXM4-80GB,8,128,567
A10,1,128,568
A10,1,128,569
A10,1,128,570
A10,1,128,571
A100-SXM4-80GB,8,128,572
GPU-series-1,8,192,573
GPU-series-1,1,192,574
A10,1,128,575
A10,1,128,576
GPU-series-2,8,192,577
A10,1,128,578
GPU-series-1,1,192,579
GPU-series-1,1,192,580
GPU-series-1,1,192,581
A10,1,128,582
A10,1,128,583
A10,1,128,584
A10,1,128,585
A10,1,128,586
A100-SXM4-80GB,8,128,587
A10,1,128,588
A10,1,128,589
A100-SXM4-80GB,8,128,590
A10,1,128,593
GPU-series-1,1,192,594
GPU-series-1,1,192,595
A10,1,128,596
A100-SXM4-80GB,8,128,597
A10,1,128,598
A100-SXM4-80GB,8,128,599
GPU-series-1,1,192,600
A10,1,128,601
A10,1,128,602
GPU-series-1,1,192,603
A10,1,128,604
A10,1,128,605
A100-SXM4-80GB,8,128,606
H800,8,192,607
A10,1,128,608
GPU-series-1,8,192,609
A10,1,128,610
A10,1,128,611
GPU-series-1,1,192,612
H800,8,192,613
